sentence1,sentence2,label
有未读信息,给老婆发短信,0
你换一个腔调,你能换一种声音吗,1
你怎么这么讨厌,可是我讨厌你,0
他说管不了,不给我管了,0
心情不好怎么办,我心情不高兴怎么办,1
桌面app的图标找不到怎么办,手机上的程序图标不见了，怎么办,0
确实没什么事,没啥事儿,1
换一个屏多少钱哈,换个原厂屏多少钱,0
面积公式是什么,BE动词有哪些,0
怎么和闺蜜说她男朋友出轨了,如何暗示被绿的闺蜜,1
你死了没有,你快死了没呀,1
我喝晕了,我酒喝太多了,1
我自拍真好看,漂亮的灯的照片,0
你休息吧,你早点休息吧,0
用人像模式自拍,打开前置摄像头拍人像,1
可乐鸡翅怎么做啊,荷包蛋怎么做,0
我叫你一声你可敢答应,我叫你一声敢答应吗,1
简单的就,简单概括一下你自己,0
QQ登录,你有QQ号吗,0
真的吗你真的喜欢我吗难道,真的吗你真的喜欢我吗,1
你根本什么也不知道,小影有什么不知道的,0
好了你再来,来个别的,0
迪迦奥特曼迪迦奥特曼,迪迦奥特曼,1
我家里没有人,你怕什么,0
mn是什么意思,ky是什么意思,0
手机充电没有铃声处理,我手机有没有充电提示音,0
话说有时候我就有点难过,有时候我就有点难过,1
我居然敢撩你,你居然敢撩我,0
毛泽东字什么,顶个诸葛亮,0
陈情令好不好看,陈情令好看不好看,1
两分钟计时,倒计时五秒钟,0
在干嘛呢你,现在在干嘛呀,0
每一天都是爱你的一天,今天也是爱你的一天,1
一边玩去吧你,一边玩去吧,1
你会玩什么游戏,还有什么游戏,0
今天天气真不错呀,我今天气坏了,0
你咋那么能聊,你这么会聊的吗,1
更换屏幕国内相同资费,质保内手机屏幕更换价格,0
忙了一天我要睡了,我打瞌睡了,1
那你想干啥,那你想干什么,1
定个两点半闹钟,帮我调明天早上六点半的闹钟,0
猜猜今天我去哪里了,今天我去了哪里,1
那我考考你,那我考你一下,1
我在想你呢,我想你了,1
我数一下星星,只看见闪闪的星星蓝蓝的天会吗,0
你会讲什么方言,来几句方言听听,1
一定要爱你,我确定要爱你,1
你给我回去,让我回去,0
我不想用这两个应用,我不喜欢这两个应用,1
感冒不能吃什么,怀孕能吃黄豆吗,0
a5屏幕组件价格,a5的屏幕介绍,0
你这么会撩的,你这么会撩吗,1
我咋这么恶心了,我太恶心了,1
你咋那么不要脸呢,真不要脸啊你,1
当我男朋友啦,我当你男朋友行不行,0
A8屏多少钱,屏幕多少钱,0
你确定你是机器人,那你就是机器人,0
你怎么样不了解,不知道你怎么样,1
四十分米等于多少米,两千克等于多少斤,0
为什么人活着这么累,为什么要活着好累,1
你们都叫我大哥就行,叫我大哥,1
麻烦你了,我又麻烦你了,1
a72充电插口,A7n充电接口,0
我帮你充电,难道我不能帮你充电吗,1
breeno语音如何升级版本,Reno4se支持语音换新吗,0
谁是你的创始人,是谁创造的你,1
全是缺点你,你一点儿都不好,1
你真的不是我女朋友吗,你可不可以做我女朋友呀,0
怎么样才能把你呼唤出来,我该怎么呼唤你出来,1
等我回来,你等我回来吧,1
小布帮我查个快递,我要查快递,1
我让你夸夸我,你在夸我,1
你告诉我你是谁,你告诉我是的名字,0
Reno4的屏幕,Reno4屏幕价格,0
你老公贵庚,你老公今年多大,1
poopa73,OPPOA32,0
你有没有眼睛,你有眼睛是一定的事吧,0
想听歌你来唱一首吧,唱个歌来听一下,1
周星驰长得帅吗,周星驰是不是很帅,1
喝牛奶有什么好处,怀孕能吃通菜吗,0
我的世界啊,我的世界,1
还真的小红帽,今年收的红包也太少了吧,0
今天吃什么饭好呢,你记得吃啥饭吧,0
自拍全景的使用方法,手机全景拍照的使用方法,1
你是今天生日吗,射手座的生日,0
这么安静的,那你就安静把,0
再唱首歌,再唱首歌来听,1
你什么样,他也什么样呢,0
怎样被手机锁定,手机被偷怎样锁屏,0
重新登录QQ,打开第一个QQ,0
如果能这样就好了,如果这样唉,0
我们难道不能开始吗,我们开始吧,1
我不和你说了,我都不知道你说的什么,0
我听你的声音就觉得你是女生,听你声音好像是女的,1
你是不是很有钱,你有钱就没事,0
在京东上买的,泰国买的，能在中国升级吗,0
生而为人我们哥错了,生而为人我错了,0
我可不可以叫你老婆,我叫你老婆好不好,1
poopa73,OPPOA32,0
你能告诉我你有什么游戏吗,你有什么小游戏吗,1
你不会什么呀,要不然你也不会啊,0
讲个最好笑的笑话,你能讲一个笑话吗,1
谢谢你晚安,拜拜晚安啦谢谢了,0
你这个小欧,你是个笨蛋小欧,0
如果你累的话可以告诉我,累不累呀,1
如何录音,视频如何录音,0
你知道个屁,你放个屁,0
k7是否支持otg,k7支持otg,0
手机屏幕黑屏是什么原因,手机通话时黑屏,0
你有哥哥姐姐弟弟妹妹吗,你有兄弟姐妹吗,1
A1耳机接口,a1耳机接口介绍,0
你真的太好了，谢谢你,你辛苦了你辛苦了,0
我令你感到讨厌吗,你是不喜欢我吗,1
你不会忘记我叫什么了吧,你忘记我叫什么了吗,1
今天我们去唱歌,我们去唱歌吧,1
哇偶你们的阿姨就是机器人,哇偶你就是机器人,0
手机的安卓版本是多少,本手机的内存是多少？,0
是的现在跟我讲,现在跟我讲,1
喜欢谁呀,谁会被你喜欢啊,1
你有什么做不到的,这些事情你都能做的到,0
怎么办呀我的老婆不理我,老婆不理我,1
我怎么这么想砸了你呢,我想把你给砸了,1
你是谁的小心肝,你是不是我的小心肝,0
被你气的吐血了我真是,我是要被你气得吐血了,1
你能告诉我你有什么游戏吗,你有什么小游戏吗,1
他以为我跟你熟就不跟你翻脸,跟你不熟,0
reno4pro标配,reno4pro,0
又不理我了,又不理我是为什么,1
还有什么事吗,没事儿啊,0
OPPOReno十倍变焦版什么处理器,OPPO十倍变焦什么处理器,0
我忘记了隐私密码,隐私密码忘记了,1
你就一直想去吧,那你慢慢想吧,1
说出你的名字,嗯你叫啥,1
我们难道不能开始吗,我们开始吧,1
你都认识谁,你能说出你认识的人的名字吗,1
开机状态充电的时候会有什么提示,充电的时候为什么不显示百分比,0
我现在要不要睡觉,要不然我现在睡觉吧,1
进入电话本,查找电话号码,0
人人刷来访,怎么刷人人人气,0
我是很认真打麻将的,我要打麻将,0
我想看电视,我去看电视,1
大家都是可以试试的,可以试试,1
你不是说你很聪明吗,你聪明吗,1
我找到你啦,你可算让我找到了,1
四十分米等于多少米,两千克等于多少斤,0
我的小欧在哪里,小欧在哪里,1
你真的好厉害呀,你实在是厉害了,1
我是你兄弟,我是你的弟,0
啥都不会,啥都不会因为你,0
那你也睡吧,你也是要去睡觉的,1
王俊凯的girlfriend叫什么,王俊凯的女朋友叫什么名字,1
换手机了,想换手机了,0
蒲河有什么玩的,有玩的好的,0
今天是什么节日,今天可能什么节日,1
狗怎么叫,我问你会不会狗叫,0
难道你需要吗,你需要什么吗,0
你会去学校吗,你会上学吗,1
你这是干什么呀,你这是干啥呀,1
手机系统不更新怎么办,手机系统更新还原，怎么处理,0
账号密码多少,帐号密码多少,1
有未读信息,给老婆发短信,0
你换一个腔调,你能换一种声音吗,1
你怎么这么讨厌,可是我讨厌你,0
他说管不了,不给我管了,0
心情不好怎么办,我心情不高兴怎么办,1
桌面app的图标找不到怎么办,手机上的程序图标不见了，怎么办,0
确实没什么事,没啥事儿,1
换一个屏多少钱哈,换个原厂屏多少钱,0
面积公式是什么,BE动词有哪些,0
怎么和闺蜜说她男朋友出轨了,如何暗示被绿的闺蜜,1
你死了没有,你快死了没呀,1
我喝晕了,我酒喝太多了,1
我自拍真好看,漂亮的灯的照片,0
你休息吧,你早点休息吧,0
用人像模式自拍,打开前置摄像头拍人像,1
可乐鸡翅怎么做啊,荷包蛋怎么做,0
我叫你一声你可敢答应,我叫你一声敢答应吗,1
简单的就,简单概括一下你自己,0
QQ登录,你有QQ号吗,0
真的吗你真的喜欢我吗难道,真的吗你真的喜欢我吗,1
你根本什么也不知道,小影有什么不知道的,0
好了你再来,来个别的,0
迪迦奥特曼迪迦奥特曼,迪迦奥特曼,1
我家里没有人,你怕什么,0
mn是什么意思,ky是什么意思,0
手机充电没有铃声处理,我手机有没有充电提示音,0
喊我老公,以后就叫我老公,1
为什么我的软件商店没有照片,为什么拍照没有记录地点,0
激活手机锁死,手机激活锁,0
开启放屁声,羊叫的声音,0
我厉害不厉害,我牛逼不牛逼,1
没希望了,难道还有希望吗,0
你会聊天吗,你会尬聊吗,0
做我爸爸,我说叫爸爸,0
什么时候可以去进食,你几点吃饭,0
我想听你放个屁,快来放个屁我想听听,0
给我唱首歌吧,放首歌给我们听听,0
聊什么你想和我,你想和我聊些什么,1
findpahm,safaridon8@gmail.com,0
王者荣耀推荐用什么英雄,王者荣耀有多少个英雄人物,0
OPPO的CEO是谁,想你的老板是谁,0
他会给我留红包吗,你可以发红包给我吗,0
通话时黑屏黑屏,手机通话时黑屏,1
我想不到你还能做得到什么,那你做得到什么呢,1
请求换一个语音助手,能不能换一个语音助手？,1
六十平方千米等于多少公顷,一吨等于多少千克,0
欧珀服务网点怎么查询,OPPO的服务点有哪些,0
我觉得咱们,我觉得我们,1
一加是一家什么公司？,Oneplus有没有,0
起点中文网,打开苹果官网,0
放遥远的你,聊一聊遥远的你,0
用语音来回答我你可以吗,你可以用语音回答我吗,1
你抱抱我,给我你的怀抱,1
我支持你加油,加油我会支持你的,1
你必须加油,你必须得加油,1
手机导航键找不到怎么办出来,手机导航键怎么调出来,1
回去睡觉吧你,那你回去睡觉吧,1
放假了吗,还没放假吗,1
我刚要受伤,我已经受伤了,0
saysorry,iamsorry,0
天空是什么颜色的,你长得是什么颜色的,0
还不明白吗,不明白吗,1
我的房子,我的房子你来买吧,0
你觉得我很帅,我好帅哟,0
再讲个笑话,来个搞笑段子,1
王者荣耀的英雄分别是谁,王者荣耀现在有几位英雄,1
我爱吃苹果,我想吃苹果,0
在说话我就生气了,我想生气,0
你的功能不多啊,你的功能好少啊,1
你怎么这么会撩人呢,我说你怎么这么会撩人,1
你买过可乐吗,买可乐是什么梗,0
你理解能力太差了,和你说话真累,0
小布我累了怎么办,我急啊，怎么办,0
我今天考了一百分,我考了满分今天,0
我这个手机值多少钱,我的这款手机多少钱啊,1
2.5D弧度屏的介绍,2.5d弧度屏的,0
不少good,你知道的还不少,0
吓得闭上了眼睛,吓得真的闭上了眼睛,1
下面三个按钮，哪一个是菜单键,下面那三个按钮,0
手机联系人恢复,手机重复联系人,0
在王者荣耀里面最强的人是谁,王者荣耀中哪个中路英雄,0
查看未读信息,读短信吗,0
心情难受了该怎么办,我心情很郁闷该怎么办,0
你是邪魔吗,你是恶魔吗,1
手机失灵了屏幕,手机屏幕失灵,0
还好你提醒了我,明天提醒我,0
你有认识的人吗,你认识谁啊,1
我真的一点都不困,她们的妹妹真的一点都不困,0
你叫啥呀,你没名字吗,1
我热死了,我热死了怎么办,1
稍微等一下哦,等一下哦,1
我更生气了,是什么让我更愤怒了,0
你今天开心吗,今天很开心吗,1
我说我想和你谈恋爱,和我谈恋爱好吗,1
再给我讲一个冷笑话,我想要听笑话,0
你自己关机吧,你关机可以吗,1
你爸叫什么名字,你爸爸叫什么,1
我可不可以骂你,我刚才骂了你,0
其实也没什么,其实这都没啥,1
a7的屏幕,A7X屏幕,0
屏幕也滑不动,屏幕滑不东,0
单声道音频的设置方法,录屏声音设置的方法,0
脚心图片,安琪拉的照片,0
我们玩猜谜语,我给你猜个谜语,1
我爸叫什么,我的妈妈叫什么,0
珍珠奶茶闷米饭,珍珠奶茶闷米饭怎么做,0
把软件商店打开,打开平安金管家,0
你留的什么发型,你现在的发型是什么样子,1
你想干什么呀,你在干嘛呀,0
我爱工作,工作使我发财,0
那我就叫你小宝贝吧,好了我就叫你小宝贝了,1
blicca智能摄像头云服务的,VPN服务器域名,0
你最爱哪个节日,你喜欢的节日,0
那我就是你的女朋友了,我就是你爸爸,0
那就开始吧,那就要准备开始啦,1
为什么不能给你们的姨妈打电话,为什么不能给你打电话,0
返回QQ界面,返回界面,0
查询物流信息,请帮我打开信息,0
李娜是谁,王者荣耀蒙恬,0
他能给我相信你,我很相信你的,0
findx2和findx2pro防水级别的差异,findx2Pro防水等级,0
小姑凉都是,小姑小姑我,0
我不请你吃饭,在怎么样我也不会请你吃饭的,1
你文凭是啥,你什么学历,1
下载粉末游戏,进入和平精英,0
青海在哪里,中国有多远,0
再打一次,把大象放进冰箱里需要几步,0
怀孕能吃黄蘑吗,怀孕能吃旱芹吗,0
我回来了,我往回来了,1
你怎么这么讨厌,你怎么这么丑呢,0
怎么哄我爸妈,你爸爸,0
你平常喜欢干什么,你没事喜欢干啥,1
你是挺没用的,你真的很没用,1
放一首你能做的朋友,你都能做啥啊,0
我心里想什么你知道吗,我心里好想你,0
我要看央视直播,直播吗,0
q1电量低于几个时候提示,正常情况下A11多久能充满,0
还有两步路,我马上就到了,0
你的故事,你故意的吧,0
OPPO最新款手机多少钱,OPPO贵吗,0
你糊涂了吗,你脑子瓦特了吗,1
再说一次,再说一遍可以吗,1
你觉得你会刷牙吗,你会刷牙吗,1
你还有别的名字吗,别的名字有吗,1
一起来洗澡,我们一起洗澡,1
我在家里宅着呢,我现在在家,1
OPPOReno3解锁,reno3pro智能解锁功能,0
正在直播,打开府衙直播,0
我今天很开心你开心吗,今天你是否如我一样快乐,1
你太笨了,你怎么这么笨,1
你的心里有没有我的位置,我怎么跑到你心里,0
发微信给闺蜜,你有闺蜜吗,0
你是小精灵吗,你是不是那个精灵啊,1
西方用英语怎么说,面条英语,0
怎么取手机卡,手机怎么装卡,0
我不想工作了,我真不想去工作,1
你可以换个声音说话吗,你会不会换个声音说话,1
我发现我现在已经无法离开你了,我发现我现在的房子,0
手机摇晃有声音,手机摇晃有响动,1
什么东西,啊什么东西,1
怎么查手表真伪,如何查询手表真伪,0
黑龙江客服电话,国家集合客服电话,0
我多希望你能再聪明一点,我说你什么时候才能变得更智能一些,1
你咋那么不要脸呢,你也太不要脸了,1
你啥时候去上学啊,你知道什么时候开学吗,0
现在天气,现在天气现在天气,1
我不知道怎么说的呢,我自己都不知道在说什么,0
美好心情你有吗,美好心情我妈有吗,0
没什么可说的,没啥可说的,1
帮我叫个外卖,外卖到了,0
是谁创造的你,你是谁创造的,1
来给我讲个故事,给我讲个童话故事,0
我都结婚了,我已经成亲了,1
是我要嫁给王一博,我想看胡歌,0
请问你唉什么啊,你唉什么呀,1
你要问啥,你要问一些关于什么的,1
你的爷爷是谁,你可以告诉我你爷爷是谁,1
我说一句你说一句,我说一句之后你再说一句,1
你有几个老公,你的丈夫第几任了,1
你的太慢了,他妹妹的太慢了,0
再也不想跟你讲话了滚,再也不想跟你讲了,1
好在试试吧,那你试试,0
换屏幕后坏屏幕怎么办,换屏唤醒屏幕,0
我困了可以睡觉吗,困了我要打瞌睡吗,1
我比你高,你比我身高要低,1
我不记得你,我不记得你了,1
说什么听不懂,怎么就听不懂你说了什么呢,1
ky是什么意思,ky到底是什么,1
这就没意思了,有一个太没意思了,0
我也是属于你的,这个属于你的,0
你重复我说的话,就是你说的这话,0
哎呀你吗,我不明白这和你有啥关系,0
下了一秒钟,一秒钟落泪,0
我的老婆就是你,你就是我女朋友,0
一直在吗,你一直在吗,0
王一博他几岁了,王一博现在几岁了,1
这首歌很安静,来首安静的音乐,0
如何查看相册隐藏的照片,怎么查看手机隐藏的照片,1
亲你好了吗,你要我被你亲吗,0
你会不会饿呀,那你不会饿吗,1
如何设置触摸提示音,怎么设置触摸提示音？,1
我现在笑不起来,想不起来那个,0
2016年上映的电影有哪些,最近有哪些电影上映,0
今天的天气真好啊,威海今天的天气,0
可以泡你吗,我真的很想泡你呢,1
reno4pro屏破多么大,OPPOReno4屏幕多少钱,0
真是太巧了我也在想你,好巧我也在想你,1
我想骂人怎么办,怎么办我想骂人,1
更换短信铃声不知道范围,切换降噪模式会不会语音提示,0
我如何称呼你,我怎么叫你,1
帮我念一下短信,我要发短信,0
能不能快点试试啊,快试试吧,1
你知道吗,你知道卢本伟吗,0
谁是你的创造者,你是谁研究出来的,1
你有朋友不,你有朋友吗,1
我是不是你最好的朋友,我想你最好的朋友是我吧,1
难道你觉得,难道你什么都知道吗,0
我知不知道你的真名字叫什么,你知不知道我的真名字叫什么,0
不好吃啊,这也不好吃啊,1
此时你对我不需要,此时我对你不需要,0
我骂你是神经病,神经病骂一声,0
你有什么技能啊,你都会干嘛,1
说一个脑子急转弯,小布给我出一个脑筋急转弯,1
把中国地名客户服务中心电话单个,湖州售后电话,0
我们不合适,怎么又不合适,0
好听好听,给我听听呗,0
我也不清楚,我没搞清楚,1
如何查看SD卡的内容,内容复制达到sim卡,0
你觉得沙漠骆驼好不好听,我听沙漠骆驼,0
咱们玩脑筋急转弯吧,给我一个脑筋急转弯,1
我真不会生气,我不会生气,1
"有,更爱你。",爱真的有,0
什么信息啊,信息的,0
我朋友是谁,我闺蜜是谁,0
你有多少钱啊,看一下我支付宝里面还有多少钱,0
如果没有遇见你,如果他没有遇见你他将会更好,0
那我不给你充电呢,如果我不给你充电你能怎么着呢,1
不想减肥了,不要减肥了我,1
把快手打开,在快手,1
那我是你的朋友吗,你能当我是你的朋友吗,0
我想听歌懂你,你晓得什么音乐,0
你怎么组词怎么组词,你怎么组词,1
OPPO手机如何打开便捷模式,oppo的手机有越南字模式的吗,0
我没有主意了,我不知道怎么办,1
你能不能说日语,你可以说日语吗,1
你生日是哪天,你过生日的时候是哪一天,1
Reno3的充电器规格,reno充电器规格,0
谁在女朋友心里住过,谁在你心里住过,0
你今年几岁呀,你能不能告诉我你多大了,1
你是不是知道我喜欢你呢,我是不是知道你喜欢我呢,0
悟空你好呀,你好孙悟空,1
我手机软件不能关机,手机无法下载软件,0
快点充电,为什么不快点充啊,0
a92s机型红包助手功能,A92s带红外功能么,0
我就不跟他聊,"先不跟你聊了,我起床了",0
番茄炒蛋怎么做,炒面怎么做,0
我们的关系是什么,这什么关系,0
手机陀螺仪是否可以关闭,手机怎么关掉陀螺仪,0
请你唱个歌吧,唱个歌吧,1
能不能借我一点钱呢,可以借我点钱吗,1
我看见他了呢,给他看见,0
可以把祝福送给我吗,祝福我吧,1
你不走我走,你不要离开我,0
我给你唱首歌好吗,我给你唱一个歌吧,0
怎么查看每天使用应用的时间,电视小天才应用怎么用,0
我需要点纸,帮我拿点纸,1
一刻等于多少毫克,十千克等于多少克,0
你知道我的儿子怎么称呼吗,你知道我的儿子叫什么名字吗,1
王者荣耀里什么人物最厉害,王者荣耀最强的战士是谁,0
三字经全文,白鹭是一首精巧的诗,0
就是因为你的身体,你的身体呢?,0
是啥日子今天,是什么节日,1
那你可不可以陪我聊会儿天?,好啊你陪我聊会儿天呗,0
我喜欢你温柔的性格,你很温柔,0
我觉得你一定会努力,你觉得我一定会努力,0
升级一下,你能不能升级,0
是谁我弟是,是谁你是,0
你喜欢谁,你现在有喜欢的人吗,0
来电视频,给我打开电视机,0
五二零没人陪我怎么办,没人陪我玩,0
我不是已经和你说过了吗,我不是告诉过你吗,1
那你不爱我吗,你难道不爱我吗,1
我先吃饭,我老妈让我先吃饭,0
我爱我女朋友吗,我到底爱不爱我女朋友,1
我的电话号码,你有电话号码吗,0
我们来玩成语成语接龙吧,我们玩成语接龙吧,1
一块钱等于多少日元,美元和人民币汇率,0
你是我的创造物,我就是创造你的人,1
那你穿来我看看,能不能来看看我,0
大家都开心,我好开心!,0
你到底喜欢啥狗吗,你知道啥叫狗吗,0
我现在得睡觉了,我要睡觉了哦,1
你的老板是,P图的老板,0
下雨的英语怎么说,漂亮的用英语怎么说,0
我去找你,我一直在找你,0
你给我死一边去,你给我死去,1
这首歌真好听,放一首好听的歌,0
我为何这么喜欢他,我好喜欢他,1
我心里没有你,我心里就是没有你,1
你怎么这么傻啊,你真傻呀,1
我耳机配置很好,我耳机配置非常好,1
小孩为什么会掉牙？,为什么双击屏幕会变大怎么关掉,0
说你笨真没冤枉你,所以说你笨,1
双色球最新开奖,双色球开多少号,1
那有什么可以帮到你呢,你可以帮我做什么呢,0
小布你知道怎么唱歌吗,小布你会唱歌吗,1
当之无愧的意思,足智多谋,0
我不要小影讲个笑话,我不会讲笑话你给我讲个笑话吧,0
用百什百什么写成语,取个什么江湖化名好,0
那你就开始叫我吧,那你教我吧,0
给我唱一首,给我唱一首生僻字,0
你能被我扔掉吗,我可以把你扔掉吗,1
难道捉迷藏你不会玩,你会不会玩捉迷藏,1
什么原因使我不会放弃,我不会放弃,0
有没有神经病,你才神经病,0
告诉我说英语,说英语啦,0
小刺猬喜欢吃什么东西呢,刺猬喜欢吃什么,1
每一天都是每一天的无聊,每天都是空荡荡的,1
自我介绍下,做一下自我介绍吧,1
那还有什么呢,那么到底还有啥啊,1
我现在好饿,我好饿哦,1
我寂寞了怎么办,我现在很寂寞怎么办,1
真的不喜欢你,我真的没有那么喜欢你,1
给我来首音乐安慰一下我,再给我来一首歌,0
怎么还不开始讲,怎么还不开始,1
你也会发图片,发大图片,0
我非常生气现在,我现在非常的生气,1
看一下我的支付宝里面还有多少钱,你有多少钱啊,0
真的好无聊,真的好没意思,1
我要去吃饭了小欧,我去吃饭了哦,1
手机升级后怎么回到旧版本,新版本返回键在哪,0
小布想听歌,帮我放首歌听,0
你爸妈会是什么样,你爸妈长什么样,1
我问你你知不知道我长得帅,我问你我长得帅吗,1
我想换个三星手机,我想换手机,0
你是笨猪,你竟然是猪吗,0
没有什么帮助,帮不上什么忙,1
说的漂亮,说媳妇漂亮说中文,0
没错你说的对,对你说的没错,1
我说我要回家,马上离开这里我想说,0
反正我就是个渣女,我是渣女,1
你到底懂不懂,你什么都不懂,0
别把疼你的人弄丢了,不要把爱你的人弄丢了,1
你会不会学猫叫,你能不能学个猫叫,1
10000克等于多少吨,一点四平方米等于多少平方分米,0
买一个那个,我想买口红,0
你不爱我了吗,你不给我了吗,0
可不可以把应用的图标更换,可以更换应用图标吗,1
你做我老婆好不好,你想不想做我老婆,0
我姐姐美不美,我姐姐是不是最好看,1
怎么分屏呀,为什么打游戏,0
怎么听不见你唱歌了,怎么不唱歌了,1
因为你不是人,不是人因为你,1
