调用链接,模型,输入token,输出token,总token,耗时,时间
https://api.minimaxi.com/v1,MiniMax-M2.7,189576,1581,191157,42.759602546691895,2026-03-30 13:16:33
https://api.minimaxi.com/v1,MiniMax-M2.7,92563,1750,94313,51.26738357543945,2026-03-30 13:17:24
https://api.minimaxi.com/v1,MiniMax-M2.7,138840,820,139660,26.510995864868164,2026-03-30 13:17:51
https://api.minimaxi.com/v1,MiniMax-M2.7,14482,4024,18506,110.65155529975891,2026-03-30 13:19:41
https://api.minimaxi.com/v1,MiniMax-M2.7,5256,8210,13466,175.16360664367676,2026-03-30 13:22:37
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,1607,4153,43.492656230926514,2026-03-30 16:52:40
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,1420,3966,37.69535803794861,2026-03-30 16:53:18
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4731,2339,7070,53.270962953567505,2026-03-30 16:54:11
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4630,1958,6588,46.449098110198975,2026-03-30 16:55:08
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5165,1897,7062,45.27348279953003,2026-03-30 16:55:53
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,3963,1628,5591,36.518741607666016,2026-03-30 16:56:30
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,2794,5340,64.94684505462646,2026-04-01 09:24:41
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,3873,6419,95.70503258705139,2026-04-01 09:26:16
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5804,3964,9768,92.03973603248596,2026-04-01 09:27:48
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,1948,4494,57.92628002166748,2026-04-02 11:02:27
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,4840,7386,135.66093945503235,2026-04-02 11:04:42
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4712,2884,7596,80.53968691825867,2026-04-02 11:06:03
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4925,1974,6899,53.15181231498718,2026-04-02 11:14:20
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5161,2292,7453,64.15084910392761,2026-04-02 11:15:24
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5120,2268,7388,63.08299732208252,2026-04-02 11:16:27
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5052,2069,7121,56.74227547645569,2026-04-02 11:17:24
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5246,2268,7514,58.94029760360718,2026-04-02 11:18:23
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,6010,2422,8432,60.845696210861206,2026-04-02 11:19:24
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5161,2699,7860,70.54209518432617,2026-04-02 11:20:34
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5265,1891,7156,49.00847268104553,2026-04-02 11:21:23
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4993,2505,7498,65.63225388526917,2026-04-02 11:22:29
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5227,2754,7981,68.98677730560303,2026-04-02 11:23:38
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5053,2275,7328,58.61043095588684,2026-04-02 11:24:37
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5233,2318,7551,60.66356706619263,2026-04-02 11:25:37
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5400,2007,7407,53.254958152770996,2026-04-02 11:26:31
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5224,2177,7401,58.77415657043457,2026-04-02 11:27:29
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,3983,6529,100.10003519058228,2026-04-02 11:38:25
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,2538,5084,61.171886682510376,2026-04-02 11:39:26
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,6527,2860,9387,60.336402893066406,2026-04-02 11:40:27
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4408,2020,6428,55.466731548309326,2026-04-02 11:54:03
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4820,2415,7235,67.18688726425171,2026-04-02 11:55:10
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4338,2279,6617,63.23220181465149,2026-04-02 11:56:13
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4943,2028,6971,51.0085985660553,2026-04-02 11:57:04
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4717,1926,6643,54.04452419281006,2026-04-02 11:57:58
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4666,2351,7017,63.21835231781006,2026-04-02 11:59:02
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5088,2197,7285,53.48800492286682,2026-04-02 11:59:55
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4975,2581,7556,66.52506852149963,2026-04-02 12:01:02
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5279,1975,7254,47.23564600944519,2026-04-02 12:01:49
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5060,1805,6865,43.53383803367615,2026-04-02 12:02:32
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5062,1754,6816,42.20892119407654,2026-04-02 12:03:15
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5364,2445,7809,56.944801807403564,2026-04-02 12:04:12
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5295,1841,7136,43.96572971343994,2026-04-02 12:04:56
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5344,2155,7499,48.697920083999634,2026-04-02 12:05:44
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5284,2072,7356,47.731789350509644,2026-04-02 12:06:32
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4931,2073,7004,44.30978178977966,2026-04-02 12:07:16
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5085,2029,7114,51.77140498161316,2026-04-02 12:08:08
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5193,1879,7072,43.96091079711914,2026-04-02 12:08:52
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5178,1880,7058,47.08089995384216,2026-04-02 12:09:39
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5088,2280,7368,53.11350965499878,2026-04-02 12:10:32
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2632,826,3458,26.090818166732788,2026-04-02 12:10:58
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,9712,1663,11375,44.52414083480835,2026-04-02 13:05:49
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,6148,1249,7397,35.50527834892273,2026-04-02 13:06:25
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,13571,1260,14831,37.587907791137695,2026-04-02 13:07:02
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,20611,1189,21800,17.841213703155518,2026-04-02 13:07:20
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,9896,948,10844,28.359023809432983,2026-04-02 13:07:49
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,19753,14329,34082,138.9514126777649,2026-04-02 13:10:08
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,28129,16384,44513,177.0857653617859,2026-04-02 13:13:05
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,21294,2628,23922,28.141416788101196,2026-04-02 13:13:33
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,33551,3992,37543,41.047080993652344,2026-04-02 13:14:14
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,13146,2453,15599,64.44152641296387,2026-04-02 13:15:18
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,8534,6103,14637,155.10920643806458,2026-04-02 13:17:53
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,18808,15701,34509,166.12071251869202,2026-04-02 13:20:39
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,68811,1085,69896,23.165332555770874,2026-04-02 13:21:03
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,34550,2524,37074,37.88687348365784,2026-04-02 13:21:41
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,27215,1737,28952,18.346696376800537,2026-04-02 13:21:59
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,19515,1334,20849,38.79747724533081,2026-04-02 13:22:38
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,18616,653,19269,8.070399284362793,2026-04-02 13:22:46
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,27602,1252,28854,18.803794622421265,2026-04-02 13:23:05
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,27743,1984,29727,23.932934045791626,2026-04-02 13:23:28
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,47882,894,48776,40.96325969696045,2026-04-02 13:24:09
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,35278,2436,37714,26.246177434921265,2026-04-02 13:24:36
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,14552,370,14922,12.23038101196289,2026-04-02 13:24:48
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,28471,704,29175,10.934910535812378,2026-04-02 13:24:59
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,16621,1399,18020,14.475358724594116,2026-04-02 13:25:13
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,26395,796,27191,10.684144973754883,2026-04-02 13:25:24
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,21649,691,22340,9.432850122451782,2026-04-02 13:25:33
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,29969,5143,35112,50.23455452919006,2026-04-02 13:26:24
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,14805,2200,17005,59.7292914390564,2026-04-02 13:27:23
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,22209,1541,23750,17.867695331573486,2026-04-02 13:27:41
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,95483,758,96241,29.808860778808594,2026-04-02 13:28:11
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,1253,1730,2983,42.46287536621094,2026-04-02 13:28:54
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,1545,4091,33.11822247505188,2026-04-03 13:29:29
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,3007,5553,72.04271221160889,2026-04-03 13:30:41
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4769,4999,9768,114.7481632232666,2026-04-03 13:32:36
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4072,3188,7260,75.47297191619873,2026-04-03 13:47:39
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4629,1930,6559,48.614840030670166,2026-04-03 13:48:28
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4950,2208,7158,55.52056694030762,2026-04-03 13:49:23
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5093,1964,7057,45.87535381317139,2026-04-03 13:50:09
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4787,1988,6775,48.09881091117859,2026-04-03 13:50:57
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5140,1858,6998,44.59030604362488,2026-04-03 13:51:42
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4969,2268,7237,57.305588483810425,2026-04-03 13:52:39
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5243,2247,7490,66.60014772415161,2026-04-03 13:53:46
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4896,2388,7284,63.37432098388672,2026-04-03 13:54:49
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5157,1880,7037,45.02153825759888,2026-04-03 13:55:34
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5075,2364,7439,56.993727922439575,2026-04-03 13:56:31
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4912,2123,7035,55.17919588088989,2026-04-03 13:57:27
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5056,2544,7600,69.75737524032593,2026-04-03 13:58:36
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5166,1615,6781,42.95835781097412,2026-04-03 13:59:19
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4825,2091,6916,55.304985761642456,2026-04-03 14:00:15
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5457,2514,7971,64.83452272415161,2026-04-03 14:01:19
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5041,2323,7364,57.71611046791077,2026-04-03 14:02:17
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5307,2025,7332,50.61616015434265,2026-04-03 14:03:08
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5215,2041,7256,49.493184089660645,2026-04-03 14:03:57
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5035,1933,6968,49.76497530937195,2026-04-03 14:04:47
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4992,2289,7281,58.42809176445007,2026-04-03 14:05:45
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5022,2415,7437,62.24597978591919,2026-04-03 14:06:48
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5120,1975,7095,56.667131662368774,2026-04-03 14:07:44
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5025,2234,7259,66.69857406616211,2026-04-03 14:08:51
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5034,2863,7897,78.29911088943481,2026-04-03 14:10:09
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,3945,1758,5703,52.78500771522522,2026-04-03 14:11:02
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,10822,2045,12867,49.111796855926514,2026-04-03 16:20:32
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,6365,1744,8109,44.44212579727173,2026-04-03 16:21:17
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,13889,1226,15115,33.01032567024231,2026-04-03 16:21:50
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,11658,2309,13967,75.54683208465576,2026-04-03 16:23:05
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,8226,994,9220,25.638288974761963,2026-04-03 16:23:31
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,21018,2483,23501,26.018826007843018,2026-04-03 16:23:57
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,21966,3121,25087,32.58192443847656,2026-04-03 16:24:29
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,33377,709,34086,22.514414310455322,2026-04-03 16:24:52
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,33476,5386,38862,55.116010665893555,2026-04-03 16:25:47
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,11725,1010,12735,27.064879417419434,2026-04-03 16:26:14
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,8300,2159,10459,70.09088706970215,2026-04-03 16:27:24
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,13828,1029,14857,27.732784748077393,2026-04-03 16:27:52
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,29274,1990,31264,21.02558946609497,2026-04-03 16:28:13
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,20053,1915,21968,21.42936658859253,2026-04-03 16:28:34
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,34033,1177,35210,15.876448392868042,2026-04-03 16:28:50
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,13188,1220,14408,36.19123578071594,2026-04-03 16:29:26
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,12984,611,13595,19.137933254241943,2026-04-03 16:29:46
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,12638,521,13159,15.282313823699951,2026-04-03 16:30:01
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,30568,486,31054,8.638228178024292,2026-04-03 16:30:09
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,9516,2235,11751,62.82380509376526,2026-04-03 16:31:12
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,19067,831,19898,30.59425640106201,2026-04-03 16:31:43
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,21766,1330,23096,13.992096662521362,2026-04-03 16:31:57
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,25556,1131,26687,14.774394989013672,2026-04-03 16:32:12
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,15653,466,16119,14.725839376449585,2026-04-03 16:32:26
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,20542,1507,22049,21.463126182556152,2026-04-03 16:32:48
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,19247,590,19837,7.382486581802368,2026-04-03 16:32:55
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,68544,1492,70036,25.981085062026978,2026-04-03 16:33:21
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,35686,1467,37153,23.108610153198242,2026-04-03 16:33:44
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,15521,3462,18983,96.13008737564087,2026-04-03 16:35:20
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,51037,829,51866,19.624281883239746,2026-04-03 16:35:40
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,51432,906,52338,48.26431632041931,2026-04-03 16:36:28
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,27439,1463,28902,16.105602979660034,2026-04-03 16:36:44
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,50677,2224,52901,31.669738292694092,2026-04-03 16:37:16
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,3490,4062,7552,109.68954825401306,2026-04-03 16:39:06
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,2454,5000,73.17111730575562,2026-04-04 16:40:21
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,1328,3874,35.196346282958984,2026-04-04 16:40:57
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5838,5425,11263,140.37958765029907,2026-04-04 16:43:17
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4403,1625,6028,44.57870602607727,2026-04-04 17:01:41
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4968,2056,7024,65.88939261436462,2026-04-04 17:02:46
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4738,2046,6784,67.72160744667053,2026-04-04 17:03:54
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4757,2049,6806,53.013251066207886,2026-04-04 17:04:47
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4928,2296,7224,74.66242694854736,2026-04-04 17:06:02
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5165,1982,7147,48.57482028007507,2026-04-04 17:06:50
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5249,2220,7469,54.49291372299194,2026-04-04 17:07:45
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5204,2364,7568,76.6752941608429,2026-04-04 17:09:02
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5037,2525,7562,69.57500052452087,2026-04-04 17:10:11
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5087,2398,7485,71.2488579750061,2026-04-04 17:11:23
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4981,1963,6944,54.83289408683777,2026-04-04 17:12:17
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4942,2015,6957,59.93403244018555,2026-04-04 17:13:17
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5085,2320,7405,71.74107527732849,2026-04-04 17:14:29
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5097,2292,7389,74.66598057746887,2026-04-04 17:15:44
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5250,3210,8460,82.40744137763977,2026-04-04 17:17:06
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5160,1975,7135,56.962886095047,2026-04-04 17:18:03
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5016,2198,7214,60.39742088317871,2026-04-04 17:19:03
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5252,2098,7350,60.23403859138489,2026-04-04 17:20:04
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5022,3089,8111,82.05772161483765,2026-04-04 17:21:26
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5224,2039,7263,54.125789403915405,2026-04-04 17:22:20
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4983,2248,7231,61.04513382911682,2026-04-04 17:23:21
